id,ativo,modulo,assunto,nivel,tipo_questao,enunciado,contexto_biossistemas,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,resposta_correta,explicacao,codigo_r,saida_esperada_r,tags,fonte,link_fonte,observacao_direitos,data_inclusao,revisado,ordem
"Q001","SIM","1","Valor de p","Basico","Multipla escolha","Em um teste t para comparar crescimento medio de mudas, o valor de p foi 0,032 com alfa de 0,05. Qual interpretacao e correta?","Duas condicoes de irrigacao foram comparadas em um experimento com mudas.","A probabilidade de H0 ser verdadeira e 3,2%.","Ha evidencia estatistica para rejeitar H0 no nivel de 5%.","A diferenca e biologicamente importante por definicao.","O experimento prova que a irrigacao causa maior crescimento.","O valor de p mede o tamanho do efeito.","B","p menor que alfa indica evidencia contra H0 no criterio definido, mas nao mede probabilidade de H0 nem relevancia biologica.","t.test(c(18.2,19.1,17.8,20.0), c(16.9,17.4,16.8,18.1), var.equal = TRUE)","Verificar p-value no objeto retornado pelo R.","p-valor;teste t;alfa","Estatistica Facil - Teste t de Student","https://estatisticafacil.org/category/analises_estatisticas/teste-t-de-student/","Questao autoral inspirada em conceito geral; sem copia de enunciado protegido.","2026-06-11","SIM","1"
"Q002","SIM","1","Valor de p","Intermediario","Interpretacao de saida em R","A saida do R apresentou p-value = 0.18 em uma comparacao de teor de materia organica entre dois manejos. Escreva a conclusao tecnica adequada com alfa = 0,05.","Amostras independentes de solo foram coletadas em duas areas de manejo.","","","","","","Nao rejeitar H0 ao nivel de 5%; os dados nao fornecem evidencia estatistica suficiente de diferenca entre os manejos.","p maior que alfa nao autoriza aceitar H0. A conclusao correta e limitada ao criterio e aos dados observados.","t.test(manejo_a, manejo_b)","p-value = 0.18","p-valor;nao rejeitar H0;solo","Autoral","","Conteudo autoral.","2026-06-11","NAO","2"
"Q003","SIM","1","Valor de p","Intermediario","Multipla escolha","Qual afirmacao evita um erro comum sobre significancia estatistica?","Um biofertilizante aumentou a produtividade em 0,3% e apresentou p = 0,01 em amostra muito grande.","p = 0,01 prova que o efeito e grande.","p = 0,01 dispensa intervalo de confianca.","Significancia estatistica deve ser interpretada com tamanho do efeito e relevancia pratica.","p = 0,01 significa que 99% das plantas responderam ao tratamento.","p = 0,01 sempre justifica adocao tecnica.","C","A magnitude do efeito, o intervalo de confianca, custos e plausibilidade biologica devem acompanhar a decisao.","","Intervalo de confianca e tamanho do efeito devem ser avaliados.","significancia;relevancia pratica;tamanho de efeito","Estatistica Facil - Tamanho de Efeito","https://estatisticafacil.org/category/tamanho-de-efeito/","Questao autoral inspirada em conceito geral; sem copia de enunciado protegido.","2026-06-11","SIM","3"
"Q004","SIM","1","Valor de p","Avancado","Discursiva","Explique por que o valor de p nao deve ser lido isoladamente em um estudo sobre qualidade da agua.","Foram comparadas concentracoes de um indicador microbiologico entre pontos protegidos e expostos.","","","","","","Porque p avalia compatibilidade dos dados com H0 sob um modelo, mas a decisao tecnica depende de efeito, incerteza, unidade, risco sanitario, delineamento e qualidade da coleta.","A resposta deve conectar evidencia estatistica, relevancia aplicada e validade dos dados.","","Resposta esperada em texto tecnico.","p-valor;qualidade da agua;interpretacao","Autoral","","Conteudo autoral.","2026-06-11","NAO","4"
"Q005","SIM","1","Valor de p","Basico","Multipla escolha","Com alfa definido previamente em 0,01, um teste resultou em p = 0,03. Qual frase e mais adequada?","Comparacao de biomassa entre duas cultivares em casa de vegetacao.","Rejeita-se H0 porque 0,03 e menor que 0,05.","Nao se rejeita H0 no criterio de 1%.","Aceita-se H0 como verdadeira.","O teste e invalido por p ser maior que alfa.","A biomassa e igual nas duas cultivares.","B","O criterio informado foi alfa = 0,01. Como p = 0,03, nao se rejeita H0 nesse nivel.","","Comparar p com alfa previamente definido.","alfa;p-valor;biomassa","Autoral","","Conteudo autoral.","2026-06-11","SIM","5"
"Q006","SIM","5","Hipoteses","Basico","Multipla escolha","Qual par de hipoteses esta formulado corretamente para comparar produtividade media entre controle e biofertilizante?","O pesquisador quer testar se ha diferenca media de produtividade entre dois grupos independentes.","H0: mu controle diferente de mu biofertilizante; H1: mu controle = mu biofertilizante.","H0: mu controle = mu biofertilizante; H1: mu controle diferente de mu biofertilizante.","H0: p < 0,05; H1: p > 0,05.","H0: o biofertilizante e melhor; H1: o controle e melhor.","H0: a amostra e grande; H1: a amostra e pequena.","B","H0 expressa ausencia de diferenca no parametro; H1 expressa a diferenca a ser investigada.","","H0: mu1 = mu2; H1: mu1 != mu2.","H0;H1;produtividade","Autoral","","Conteudo autoral.","2026-06-11","SIM","6"
"Q007","SIM","5","Hipoteses","Intermediario","Discursiva","Formule H0 e H1 para avaliar associacao entre protecao de nascente e resultado microbiologico da agua.","A variavel protecao tem categorias protegido/exposto e o resultado microbiologico tem adequado/inadequado.","","","","","","H0: nao ha associacao entre protecao da nascente e resultado microbiologico. H1: ha associacao entre protecao da nascente e resultado microbiologico.","Para variaveis categoricas, as hipoteses devem expressar independencia ou associacao entre classificacoes.","","Hipoteses esperadas para teste de associacao.","hipoteses;qui-quadrado;agua","Estatistica Facil - Qui-quadrado","https://estatisticafacil.org/category/analises_estatisticas/qui-quadrado/","Questao autoral inspirada em conceito geral; sem copia de enunciado protegido.","2026-06-11","NAO","7"
"Q008","SIM","5","Hipoteses","Intermediario","Multipla escolha","Quando um teste unilateral e justificavel?","Um estudo avalia se um manejo reduz consumo de agua sem reduzir produtividade.","Quando o pesquisador escolhe a direcao depois de ver os dados.","Quando qualquer diferenca e relevante.","Quando a direcao foi definida antes da analise e ha justificativa teorica ou tecnica.","Quando o p bilateral e maior que 0,05.","Quando a amostra e pequena.","C","A direcionalidade deve ser pre-especificada e justificada para evitar decisao oportunista.","","Definir alternative = 'less' ou 'greater' apenas com justificativa previa.","teste unilateral;hipoteses;irrigacao","Autoral","","Conteudo autoral.","2026-06-11","SIM","8"
"Q009","SIM","5","Hipoteses","Avancado","Identificacao de erro conceitual","Identifique o erro na frase: 'Como p foi 0,22, aceitamos H0 e provamos que os tratamentos sao iguais'.","Ensaio comparou tres substratos para producao de mudas.","","","","","","O erro e aceitar H0 como verdade e afirmar prova de igualdade; o adequado e dizer que nao houve evidencia suficiente para rejeitar H0, no criterio adotado.","Ausencia de evidencia contra H0 nao e evidencia conclusiva de igualdade pratica ou biologica.","","Resposta esperada em texto tecnico.","aceitar H0;erro conceitual;substrato","Autoral","","Conteudo autoral.","2026-06-11","NAO","9"
"Q010","SIM","5","Hipoteses","Basico","Multipla escolha","Em um teste bilateral para correlacao entre umidade do solo e produtividade, qual H1 e adequada?","Medidas pareadas foram obtidas por parcela.","rho = 0","rho diferente de 0","rho maior que 0 obrigatoriamente","rho menor que 0 obrigatoriamente","p = 0,05","B","Teste bilateral de correlacao avalia associacao diferente de zero em qualquer direcao.","cor.test(umidade, produtividade, method = ""pearson"")","H1 bilateral: true correlation is not equal to 0.","correlacao;hipoteses;solo","Estatistica Facil - Correlacao","https://estatisticafacil.org/category/analises_estatisticas/correlacao/","Questao autoral inspirada em conceito geral; sem copia de enunciado protegido.","2026-06-11","SIM","10"
"Q011","SIM","2","Escolha de testes","Basico","Multipla escolha","Qual teste e mais indicado para comparar duas medias independentes de crescimento com premissas razoaveis de normalidade e variancias semelhantes?","Duas especies foram cultivadas em parcelas distintas e independentes.","Teste t independente","Teste t pareado","Qui-quadrado","Fisher","Spearman","A","Duas medias independentes com variavel numerica continua apontam para teste t independente, se as premissas forem razoaveis.","t.test(especie_a, especie_b, var.equal = TRUE)","Resultado do teste t independente.","teste t;independente;crescimento","Estatistica Facil - Teste t de Student","https://estatisticafacil.org/category/analises_estatisticas/teste-t-de-student/","Questao autoral inspirada em conceito geral; sem copia de enunciado protegido.","2026-06-11","SIM","11"
"Q012","SIM","2","Escolha de testes","Intermediario","Multipla escolha","Qual teste e adequado para comparar tres doses de biofertilizante quanto a produtividade media quando as premissas de ANOVA sao aceitaveis?","Doses 0, 50 e 100 foram aplicadas em parcelas independentes.","Teste t pareado","ANOVA de um fator","Fisher","Spearman","Shapiro-Wilk como teste final","B","Mais de dois grupos independentes e resposta numerica sugerem ANOVA de um fator quando as premissas sao aceitaveis.","modelo <- aov(produtividade ~ dose, data = dados); summary(modelo); TukeyHSD(modelo)","Tabela de ANOVA e comparacoes de Tukey quando pertinente.","anova;biofertilizante;Tukey","Estatistica Facil - ANOVA","https://estatisticafacil.org/category/analises_estatisticas/anova/","Questao autoral inspirada em conceito geral; sem copia de enunciado protegido.","2026-06-11","SIM","12"
"Q013","SIM","2","Escolha de testes","Intermediario","Multipla escolha","Qual teste usar para comparar antes e depois da intervencao no mesmo conjunto de reservatorios, com diferencas aproximadamente normais?","A turbidez foi medida nos mesmos reservatorios antes e depois de uma acao de limpeza.","Teste t independente","Teste t pareado","Qui-quadrado","Kruskal-Wallis","Fisher","B","As medidas sao pareadas porque cada reservatorio aparece antes e depois.","t.test(antes, depois, paired = TRUE)","Resultado de teste t pareado.","pareado;turbidez;reservatorio","Autoral","","Conteudo autoral.","2026-06-11","SIM","13"
"Q014","SIM","2","Escolha de testes","Avancado","Multipla escolha","Qual teste e mais apropriado para associacao entre protecao de fonte e presenca/ausencia de contaminacao quando as frequencias esperadas sao muito baixas?","Tabela 2x2 com poucos pontos amostrados em campo.","ANOVA","Teste exato de Fisher","Teste t independente","Kruskal-Wallis","Pearson","B","Em tabelas pequenas com frequencias esperadas baixas, o teste exato de Fisher e alternativa usual ao qui-quadrado.","fisher.test(tabela_2x2)","p-value do teste exato de Fisher.","Fisher;qui-quadrado;contaminacao","Estatistica Facil - Qui-quadrado","https://estatisticafacil.org/category/analises_estatisticas/qui-quadrado/","Questao autoral inspirada em conceito geral; sem copia de enunciado protegido.","2026-06-11","SIM","14"
"Q015","SIM","2","Escolha de testes","Intermediario","Discursiva","Descreva o fluxo minimo de pre-teste, teste e pos-teste para analisar produtividade em quatro manejos de solo.","Os manejos foram aplicados em parcelas independentes com mesma unidade experimental.","","","","","","Pre-teste: verificar delineamento, unidade experimental, graficos, ausentes, outliers, normalidade dos residuos e homogeneidade. Teste: ANOVA ou Kruskal-Wallis conforme pergunta e adequacao. Pos-teste: p, IC, tamanho de efeito, Tukey se ANOVA, grafico e conclusao tecnica.","A resposta deve organizar a analise em etapas e nao apenas nomear um teste.","kruskal.test(produtividade ~ manejo, data = dados)","Alternativa nao parametrica para mais de dois grupos.","pre-teste;pos-teste;solo","Estatistica Facil - ANOVA","https://estatisticafacil.org/category/analises_estatisticas/anova/","Questao autoral inspirada em conceito geral; sem copia de enunciado protegido.","2026-06-11","NAO","15"
"Q016","SIM","3","Parametricos e nao parametricos","Basico","Multipla escolha","Qual situacao favorece um teste nao parametrico?","Notas ordinais de vigor foram dadas por avaliadores em escala de 1 a 5.","Variavel continua normal com variancias semelhantes.","Escala ordinal com rankings e amostra pequena.","Duas medias independentes com amostra grande e simetrica.","Resposta numerica em kg com residuos normais.","Variancia homogenea em tres grupos.","B","Dados ordinais e rankings sao compatíveis com abordagens nao parametricas como Wilcoxon, Kruskal-Wallis ou Spearman.","cor.test(vigor, produtividade, method = ""spearman"")","Correlacao por postos.","nao parametrico;ordinal;ranking","Autoral","","Conteudo autoral.","2026-06-11","SIM","16"
